"tm","account","symbol","position"
2018-11-14 10:14:18:190047,CEF-BB-CICC,USDSGD,200
2018-11-14 10:14:17:697976,CEF-BB-CICC,USDSGD,188.5386
2018-11-14 10:13:58:696965,CEF-BB-CICC,USDSGD,100
2018-11-14 10:13:57:782402,CEF-BB-CICC,USDSGD,69.2777
2018-11-14 08:52:33:288077,TEST2,EURUSD,6000000
2018-11-14 08:51:34:423890,TEST2,EURUSD,5000000
2018-11-14 08:45:25:590387,TEST2,EURUSD,4000000
2018-11-14 08:45:24:801342,TEST2,EURUSD,3000000
2018-11-14 07:07:58:515814,MM-MS-FX,EURUSD,1020
2018-11-14 07:07:58:492865,MM-MS-FX,EURUSD,1010
2018-11-14 06:16:50:393634,MM-MS-FX,EURUSD,1000
2018-11-14 06:12:00:522515,MM-MS-FX,EURUSD,30
2018-11-14 06:10:42:139919,MM-MS-FX,EURUSD,20
2018-11-14 06:09:55:503938,MM-MS-FX,EURUSD,10
2018-11-14 05:57:42:776700,MM-MS-FX,EURUSD,100
2018-11-14 05:01:45:437655,MM-MS-FX,EURUSD,1001000
2018-11-14 04:59:48:053788,MM-MS-FX,EURUSD,1000000
2018-11-09 08:36:03:621617,TEST2,EURUSD,2000000
2018-11-09 08:32:10:708018,CEF-BB-CICC,EURUSD,3000000
2018-11-09 08:28:43:695466,TEST2,EURUSD,1000000
2018-11-09 08:28:19:302959,CEF-BB-CICC,EURUSD,2000000
2018-11-09 08:26:58:288703,CEF-BB-CICC,EURUSD,1000000
2018-11-09 02:31:10:762682,TEST,USDCAD,5601400
2018-11-09 02:31:10:402448,TEST,USDCAD,5252536
2018-11-09 02:31:06:600820,TEST,USDCAD,4601400
2018-11-09 02:31:05:761724,TEST,USDCAD,3996928
2018-11-09 02:31:01:921324,TEST,USDCAD,3601400
2018-11-09 02:31:01:101331,TEST,USDCAD,3355516
2018-11-09 02:30:55:705337,TEST,USDCAD,2601400
2018-11-09 02:30:55:153264,TEST,USDCAD,2337390
2018-11-01 07:32:55:861341,TEST,EURUSD,29300953
2018-11-01 07:32:55:760005,TEST,EURUSD,29300915.6924
2018-11-01 07:32:55:693535,TEST,EURUSD,29300853
2018-11-01 07:32:55:597547,TEST,EURUSD,29300758.7522
2018-11-01 07:32:55:107511,TEST,EURUSD,29300753
2018-11-01 07:32:54:157520,TEST,EURUSD,29300690.0347
2018-11-01 07:32:53:021255,TEST,EURUSD,29300653
2018-11-01 07:32:52:949222,TEST,EURUSD,29300617.7283
2018-11-01 07:32:52:259277,TEST,EURUSD,29300553
2018-11-01 07:32:52:057667,TEST,EURUSD,29300552.4984
2018-11-01 07:32:51:592871,TEST,EURUSD,29300453
2018-11-01 07:32:50:822695,TEST,EURUSD,29300365.7955
2018-11-01 07:32:27:904738,TEST,EURUSD,29300353
2018-11-01 07:32:27:383666,TEST,EURUSD,29300288.5115
2018-11-01 07:31:42:027602,TEST,EURUSD,29300253
2018-11-01 07:31:41:977615,TEST,EURUSD,29300191.8027
2018-11-01 07:31:40:206462,TEST,EURUSD,29300153
2018-11-01 07:31:39:746458,TEST,EURUSD,29300107.3921
2018-11-01 07:31:19:707763,TEST,EURUSD,29300053
2018-11-01 07:31:19:519656,TEST,EURUSD,29300052.245975
2018-11-01 07:30:48:962053,TEST,EURUSD,29300052
2018-11-01 07:30:48:695652,TEST,EURUSD,29300051.77289
2018-11-01 07:30:48:207843,TEST,EURUSD,29300050.905023
2018-11-01 07:30:48:047617,TEST,EURUSD,29300050.132133
2018-11-01 07:30:25:973646,TEST,EURUSD,29300050
2018-11-01 07:30:25:475416,TEST,EURUSD,29300049.849958
2018-11-01 07:30:21:293087,TEST,EURUSD,29300049
2018-11-01 07:30:21:103687,TEST,EURUSD,29300048.789528
2018-11-01 07:30:15:683319,TEST,EURUSD,29300048
2018-11-01 07:30:15:650284,TEST,EURUSD,29300047.936784
2018-11-01 07:30:04:109100,TEST,EURUSD,29300047
2018-11-01 07:30:03:963160,TEST,EURUSD,29300046.518944
2018-11-01 07:30:03:905414,TEST,EURUSD,29300046
2018-11-01 07:30:03:646372,TEST,EURUSD,29300045.031326
2018-11-01 07:29:52:463143,TEST,EURUSD,29300045
2018-11-01 07:29:51:896094,TEST,EURUSD,29300044.867621
2018-11-01 07:29:49:187608,TEST,EURUSD,29300044
2018-11-01 07:29:48:303608,TEST,EURUSD,29300043.575579
2018-11-01 07:29:42:992550,TEST,EURUSD,29300043
2018-11-01 07:29:42:737536,TEST,EURUSD,29300042.66885
2018-11-01 07:29:03:808314,TEST,EURUSD,29300042
2018-11-01 07:29:03:760604,TEST,EURUSD,29300041.495994
2018-11-01 07:28:55:986315,TEST,EURUSD,29300041
2018-11-01 07:28:55:274212,TEST,EURUSD,29300040.108581
2018-11-01 07:28:55:238309,TEST,EURUSD,29300040
2018-11-01 07:28:55:139795,TEST,EURUSD,29300039.606042
2018-11-01 07:28:54:930609,TEST,EURUSD,29300039.548632
2018-11-01 07:28:54:486852,TEST,EURUSD,29300038.606042
2018-11-01 07:28:54:245746,TEST,EURUSD,29300038.345341
2018-11-01 07:28:53:846810,TEST,EURUSD,29300037.739299
2018-11-01 07:28:53:577860,TEST,EURUSD,29300037
2018-11-01 07:28:52:905606,TEST,EURUSD,29300036.811972
2018-11-01 07:28:52:509193,TEST,EURUSD,29300036
2018-11-01 07:28:51:879142,TEST,EURUSD,29300035.054081
2018-11-01 07:28:51:517649,TEST,EURUSD,29300035
2018-11-01 07:28:51:293512,TEST,EURUSD,29300034.76392
2018-11-01 07:27:59:626470,TEST,EURUSD,29300034
2018-11-01 07:27:58:686464,TEST,EURUSD,29300033.939811
2018-11-01 07:27:57:689990,TEST,EURUSD,29300033
2018-11-01 07:27:56:969036,TEST,EURUSD,29300032.044599
2018-11-01 07:25:56:627548,TEST,EURUSD,29300032
2018-11-01 07:25:56:306500,TEST,EURUSD,29300031.667372
2018-11-01 07:25:50:633056,TEST,EURUSD,29300031
2018-11-01 07:25:50:427135,TEST,EURUSD,29300030.467587
2018-11-01 07:25:25:927879,TEST,EURUSD,29300030
2018-11-01 07:25:25:268705,TEST,EURUSD,29300029.032172
2018-11-01 07:25:04:546810,TEST,EURUSD,29300029
2018-11-01 07:25:04:101759,TEST,EURUSD,29300028.379107
2018-11-01 07:24:45:483025,TEST,EURUSD,29300028
2018-11-01 07:24:45:292996,TEST,EURUSD,29300027.739668
2018-11-01 07:24:16:465975,TEST,EURUSD,29300027
2018-11-01 07:24:15:805908,TEST,EURUSD,29300026.845894
2018-11-01 07:24:07:125389,TEST,EURUSD,29300026
2018-11-01 07:24:06:244189,TEST,EURUSD,29300025.487131
2018-11-01 07:23:55:313434,TEST,EURUSD,29300025
2018-11-01 07:23:54:763487,TEST,EURUSD,29300024.419379
2018-11-01 07:23:44:953276,TEST,EURUSD,29300024
2018-11-01 07:23:44:870314,TEST,EURUSD,29300023.9626
2018-11-01 07:23:37:879166,TEST,EURUSD,29300023
2018-11-01 07:23:37:242050,TEST,EURUSD,29300022.412924
2018-11-01 07:23:30:168336,TEST,EURUSD,29300022
2018-11-01 07:23:29:752266,TEST,EURUSD,29300021.586708
2018-11-01 07:23:17:877792,TEST,EURUSD,29300021
2018-11-01 07:23:17:433688,TEST,EURUSD,29300020.178736
2018-11-01 07:23:04:485399,TEST,EURUSD,29300020
2018-11-01 07:23:03:788493,TEST,EURUSD,29300019.425661
2018-11-01 07:22:45:542821,TEST,EURUSD,29300019
2018-11-01 07:22:44:931697,TEST,EURUSD,29300018.376348
2018-11-01 07:22:41:608190,TEST,EURUSD,29300018
2018-11-01 07:22:41:100969,TEST,EURUSD,29300017.110197
2018-11-01 07:22:36:791412,TEST,EURUSD,29300017
2018-11-01 07:22:36:709460,TEST,EURUSD,29300016.907669
2018-11-01 07:22:32:453129,TEST,EURUSD,29300016
2018-11-01 07:22:32:313998,TEST,EURUSD,29300015.617505
2018-11-01 07:22:29:533877,TEST,EURUSD,29300015
2018-11-01 07:22:28:808735,TEST,EURUSD,29300014.689772
2018-11-01 07:22:26:939668,TEST,EURUSD,29300014
2018-11-01 07:22:26:756655,TEST,EURUSD,29300013.25947
2018-11-01 07:08:38:982812,TEST,EURUSD,29300013
2018-11-01 07:08:38:854779,TEST,EURUSD,29300012.344818
2018-11-01 07:08:15:510712,TEST,EURUSD,29300012
2018-11-01 07:08:14:981548,TEST,EURUSD,29300011.335928
2018-11-01 07:08:04:557651,TEST,EURUSD,29300011
2018-11-01 07:08:04:162602,TEST,EURUSD,29300010.468858
2018-11-01 07:08:03:748861,TEST,EURUSD,29300010
2018-11-01 07:08:03:473829,TEST,EURUSD,29300009.899228
2018-11-01 07:08:01:425348,TEST,EURUSD,29300009
2018-11-01 07:08:01:060301,TEST,EURUSD,29300008.322227
2018-11-01 07:06:51:069664,TEST,EURUSD,29300008
2018-11-01 07:06:50:305456,TEST,EURUSD,29300007.597488
2018-11-01 07:06:45:131583,TEST,EURUSD,29300007
2018-11-01 07:06:44:210559,TEST,EURUSD,29300006.493451
2018-11-01 07:06:33:374432,TEST,EURUSD,29300006
2018-11-01 07:06:32:651285,TEST,EURUSD,29300005.747796
2018-11-01 07:06:27:191974,TEST,EURUSD,29300005
2018-11-01 07:06:26:476965,TEST,EURUSD,29300004.959708
2018-11-01 07:06:02:993111,TEST,EURUSD,29300004
2018-11-01 07:06:02:490023,TEST,EURUSD,29300003.048829
2018-11-01 07:05:56:366046,TEST,EURUSD,29300003
2018-11-01 07:05:55:837979,TEST,EURUSD,29300002.028624
2018-11-01 07:05:52:975778,TEST,EURUSD,29300002
2018-11-01 07:05:52:669831,TEST,EURUSD,29300001.276965
2018-11-01 07:05:29:601942,TEST,EURUSD,29300001
2018-11-01 07:05:28:892826,TEST,EURUSD,29300000.890675
2018-11-01 07:05:08:494385,TEST,EURUSD,29300000
2018-11-01 07:05:08:214426,TEST,EURUSD,29299999.997301
2018-11-01 07:05:06:776762,TEST,EURUSD,29299999
2018-11-01 07:05:06:459687,TEST,EURUSD,29299998.612902
2018-11-01 07:05:01:600727,TEST,EURUSD,29299998
2018-11-01 07:05:01:222731,TEST,EURUSD,29299997.651434
2018-11-01 07:04:58:623006,TEST,EURUSD,29299997
2018-11-01 07:04:58:528931,TEST,EURUSD,29299996.698586
2018-11-01 07:04:57:447462,TEST,EURUSD,29299996
2018-11-01 07:04:57:079383,TEST,EURUSD,29299995.549676
2018-10-31 07:39:38:686272,TEST,USDCAD,1601400
2018-10-31 07:39:38:355697,TEST,USDCAD,1601299.311
2018-10-31 05:43:49:719930,TEST,USDCAD,1601100
2018-10-31 05:43:48:936755,TEST,USDCAD,1601054.4919
2018-10-31 05:30:39:175588,MM-MS-FXRMS,USDCNH,1000000
2018-10-31 04:43:09:659622,TEST,USDCAD,1601000
2018-10-31 04:43:09:618528,TEST,USDCAD,1600917.5011
2018-10-31 04:40:09:953183,TEST,USDCAD,1600900
2018-10-31 04:40:09:932154,TEST,USDCAD,1600897.9802
2018-10-31 04:35:30:519230,TEST,USDCAD,1600800
2018-10-31 04:35:29:770541,TEST,USDCAD,1600772.2862
2018-10-31 04:33:41:571304,TEST,USDCAD,1600700
2018-10-31 04:33:41:117522,TEST,USDCAD,1600600.5211
2018-10-31 04:32:55:699989,TEST,USDCAD,1600600
2018-10-31 04:32:55:258800,TEST,USDCAD,1600518.054
2018-10-31 04:23:44:627301,TEST,USDCAD,1600500
2018-10-31 04:23:43:938394,TEST,USDCAD,1600449.0027
2018-10-31 04:19:47:626865,TEST,USDCAD,1600400
2018-10-31 04:19:46:920896,TEST,USDCAD,1600388.5386
2018-10-31 04:16:47:956684,TEST,USDCAD,1600300
2018-10-31 04:16:47:042573,TEST,USDCAD,1600269.2777
2018-10-31 03:28:52:177118,TEST,USDCAD,1600200
2018-10-31 03:28:51:563876,TEST,USDCAD,1600155.8955
2018-10-31 03:22:38:103558,TEST,USDCAD,1600100
2018-10-31 03:22:37:170567,TEST,USDCAD,1600004.1805
2018-10-24 03:02:45:573627,MM-MS-FX,EURCAD,1000000
2018-10-19 15:32:03:320235,TEST,USDCNH,-9914684.075596
2018-10-19 15:32:02:564808,TEST,USDCNH,-9914683.075596
2018-10-19 15:32:02:215393,TEST,USDCNH,-9914682.075596
2018-10-19 15:32:00:336946,TEST,USDCNH,-9914681.075596
2018-10-19 15:31:59:977343,TEST,USDCNH,-9914680.075596
2018-10-19 15:31:59:788544,TEST,USDCNH,-9914679.075596
2018-10-19 15:31:57:887370,TEST,USDCNH,-9914678.075596
2018-10-19 15:31:57:327241,TEST,USDCNH,-9914677.075596
2018-10-19 15:31:57:115856,TEST,USDCNH,-9914676.075596
2018-10-19 15:31:56:697383,TEST,USDCNH,-9914675.075596
2018-10-19 15:31:56:544394,TEST,USDCNH,-9914674.075596
2018-10-19 15:31:55:759739,TEST,USDCNH,-9914673.075596
2018-10-19 15:31:54:457457,TEST,USDCNH,-9914672.075596
2018-10-19 15:31:53:551763,TEST,USDCNH,-9914671.075596
2018-10-19 15:31:52:795992,TEST,USDCNH,-9914670.075596
2018-10-19 15:31:52:422234,TEST,USDCNH,-9914669.075596
2018-10-19 15:31:51:959166,TEST,USDCNH,-9914668.075596
2018-10-19 15:31:51:702585,TEST,USDCNH,-9914667.075596
2018-10-19 15:31:51:155772,TEST,USDCNH,-9914666.075596
2018-10-19 15:31:49:568289,TEST,USDCNH,-9914665.075596
2018-10-19 15:31:48:765038,TEST,USDCNH,-9914664.075596
2018-10-19 15:31:45:618818,TEST,USDCNH,-9914663.075596
2018-10-19 15:31:44:203168,TEST,USDCNH,-9914662.075596
2018-10-19 15:31:43:911919,TEST,USDCNH,-9914661.075596
2018-10-19 15:31:42:956872,TEST,USDCNH,-9914660.075596
2018-10-19 15:31:42:558837,TEST,USDCNH,-9914659.075596
2018-10-19 15:31:42:414850,TEST,USDCNH,-9914658.075596
2018-10-19 15:31:42:052650,TEST,USDCNH,-9914657.075596
2018-10-19 15:31:41:274161,TEST,USDCNH,-9914656.075596
2018-10-19 15:31:38:312085,TEST,USDCNH,-9914655.075596
2018-10-19 15:31:38:048430,TEST,USDCNH,-9914654.075596
2018-10-19 15:31:37:491673,TEST,USDCNH,-9914653.075596
2018-10-19 15:31:36:119774,TEST,USDCNH,-9914652.075596
2018-10-19 15:31:35:938158,TEST,USDCNH,-9914651.075596
2018-10-19 15:31:34:599579,TEST,USDCNH,-9914650.075596
2018-10-19 15:31:34:323903,TEST,USDCNH,-9914649.075596
2018-10-19 15:31:34:220992,TEST,USDCNH,-9914648.075596
2018-10-19 15:31:34:198488,TEST,USDCNH,-9914647.075596
2018-10-19 15:31:33:159414,TEST,USDCNH,-9914646.075596
2018-10-19 15:31:30:707332,TEST,USDCNH,-9914645.075596
2018-10-19 15:31:30:206017,TEST,USDCNH,-9914644.075596
2018-10-19 15:31:29:938727,TEST,USDCNH,-9914643.075596
2018-10-19 15:31:29:465835,TEST,USDCNH,-9914642.075596
2018-10-19 15:31:28:504072,TEST,USDCNH,-9914641.075596
2018-10-19 15:31:27:491780,TEST,USDCNH,-9914640.075596
2018-10-19 15:31:27:230669,TEST,USDCNH,-9914639.075596
2018-10-19 15:31:26:219875,TEST,USDCNH,-9914638.075596
2018-10-19 15:31:25:215220,TEST,USDCNH,-9914637.075596
2018-10-19 15:31:24:505769,TEST,USDCNH,-9914636.075596
2018-10-19 15:31:23:660953,TEST,USDCNH,-9914635.075596
2018-10-19 15:31:23:124321,TEST,USDCNH,-9914634.075596
2018-10-19 15:31:22:807758,TEST,USDCNH,-9914633.075596
2018-10-19 15:31:22:193864,TEST,USDCNH,-9914632.075596
2018-10-19 15:31:21:187692,TEST,USDCNH,-9914631.075596
2018-10-19 15:31:21:066268,TEST,USDCNH,-9914630.075596
2018-10-19 15:31:19:572922,TEST,USDCNH,-9914629.075596
2018-10-19 15:31:18:809349,TEST,USDCNH,-9914628.075596
2018-10-19 15:31:18:418435,TEST,USDCNH,-9914627.075596
2018-10-19 15:31:16:891623,TEST,USDCNH,-9914626.075596
2018-10-19 15:31:16:311807,TEST,USDCNH,-9914625.075596
2018-10-19 15:31:15:379810,TEST,USDCNH,-9914624.075596
2018-10-19 15:31:14:721635,TEST,USDCNH,-9914623.075596
2018-10-19 15:31:14:461639,TEST,USDCNH,-9914622.075596
2018-10-19 15:31:12:767575,TEST,USDCNH,-9914621.075596
2018-10-19 15:31:12:532507,TEST,USDCNH,-9914620.075596
2018-10-19 15:31:09:576254,TEST,USDCNH,-9914619.075596
2018-10-19 15:31:08:951084,TEST,USDCNH,-9914618.075596
2018-10-19 15:31:08:306844,TEST,USDCNH,-9914617.075596
2018-10-19 15:31:07:103874,TEST,USDCNH,-9914616.075596
2018-10-19 15:31:06:365005,TEST,USDCNH,-9914615.075596
2018-10-19 15:29:37:333022,TEST,USDCNH,-9914614.075596
2018-10-19 15:29:37:171784,TEST,USDCNH,-9914615.075596
2018-10-19 15:29:36:611052,TEST,USDCNH,-9914616.075596
2018-10-19 15:29:36:338690,TEST,USDCNH,-9914617.075596
2018-10-19 15:29:36:051372,TEST,USDCNH,-9914618.075596
2018-10-19 15:29:35:844566,TEST,USDCNH,-9914619.075596
2018-10-19 15:25:41:645115,TEST,USDCNH,-9914620.075596
2018-10-19 15:25:41:166140,TEST,USDCNH,-9914621.075596
2018-10-19 15:25:41:096323,TEST,USDCNH,-9914622.075596
2018-10-19 15:25:40:535558,TEST,USDCNH,-9914623.075596
2018-10-19 15:25:40:502722,TEST,USDCNH,-9914624.075596
2018-10-19 15:25:40:062633,TEST,USDCNH,-9914625.075596
2018-10-19 15:25:32:735258,TEST,USDCNH,-9914626.075596
2018-10-19 15:25:31:908316,TEST,USDCNH,-9914627.075596
2018-10-19 15:25:31:736294,TEST,USDCNH,-9914628.075596
2018-10-19 15:25:31:550535,TEST,USDCNH,-9914629.075596
2018-10-19 15:25:31:317113,TEST,USDCNH,-9914630.075596
2018-10-19 15:25:29:570381,TEST,USDCNH,-9914631.075596
2018-10-19 15:25:29:208823,TEST,USDCNH,-9914632.075596
2018-10-19 15:25:11:973251,TEST,USDCNH,-9914633.075596
2018-10-19 15:24:57:885721,TEST,USDCNH,-9914634.075596
2018-10-19 15:24:57:609331,TEST,USDCNH,-9914635.075596
2018-10-19 15:24:48:737162,TEST,USDCNH,-9914636.075596
2018-10-19 15:24:48:720706,TEST,USDCNH,-9914637.075596
2018-10-19 15:24:48:714163,TEST,USDCNH,-9914638.075596
2018-10-19 15:24:48:627950,TEST,USDCNH,-9914639.075596
2018-10-19 15:24:48:586085,TEST,USDCNH,-9914640.075596
2018-10-19 15:24:48:549130,TEST,USDCNH,-9914641.075596
2018-10-19 15:24:48:397789,TEST,USDCNH,-9914642.075596
2018-10-19 15:24:48:348346,TEST,USDCNH,-9914643.075596
2018-10-19 15:24:48:301025,TEST,USDCNH,-9914644.075596
2018-10-19 15:24:48:245618,TEST,USDCNH,-9914645.075596
2018-10-19 15:24:47:924549,TEST,USDCNH,-9914646.075596
2018-10-19 15:24:47:627654,TEST,USDCNH,-9914647.075596
2018-10-19 15:24:43:416902,TEST,USDCNH,-9914648.075596
2018-10-19 15:24:42:928493,TEST,USDCNH,-9914649.075596
2018-10-19 15:24:35:485126,TEST,USDCNH,-9914650.075596
2018-10-19 15:24:34:166826,TEST,USDCNH,-9914651.075596
2018-10-19 15:24:33:440386,TEST,USDCNH,-9914652.075596
2018-10-19 15:24:33:028301,TEST,USDCNH,-9914653.075596
2018-10-19 15:24:32:804576,TEST,USDCNH,-9914654.075596
2018-10-19 15:24:32:725886,TEST,USDCNH,-9914655.075596
2018-10-19 15:24:32:429264,TEST,USDCNH,-9914656.075596
2018-10-19 15:24:32:344148,TEST,USDCNH,-9914657.075596
2018-10-19 15:24:32:270501,TEST,USDCNH,-9914658.075596
2018-10-19 15:24:29:614838,TEST,USDCNH,-9914659.075596
2018-10-19 15:24:29:346883,TEST,USDCNH,-9914660.075596
2018-10-19 15:24:28:816987,TEST,USDCNH,-9914661.075596
2018-10-19 15:24:28:483822,TEST,USDCNH,-9914662.075596
2018-10-19 15:24:28:280223,TEST,USDCNH,-9914663.075596
2018-10-19 15:24:27:829161,TEST,USDCNH,-9914664.075596
2018-10-19 15:24:27:820649,TEST,USDCNH,-9914665.075596
2018-10-19 15:24:27:791375,TEST,USDCNH,-9914666.075596
2018-10-19 15:24:27:410863,TEST,USDCNH,-9914667.075596
2018-10-19 15:24:27:295226,TEST,USDCNH,-9914668.075596
2018-10-19 15:24:26:447404,TEST,USDCNH,-9914669.075596
2018-10-19 15:24:26:272740,TEST,USDCNH,-9914670.075596
2018-10-19 15:24:24:402960,TEST,USDCNH,-9914671.075596
2018-10-19 15:24:23:463969,TEST,USDCNH,-9914672.075596
2018-10-19 15:24:23:360671,TEST,USDCNH,-9914673.075596
2018-10-19 15:24:23:309571,TEST,USDCNH,-9914674.075596
2018-10-19 15:24:23:223826,TEST,USDCNH,-9914675.075596
2018-10-19 15:24:23:149393,TEST,USDCNH,-9914676.075596
2018-10-19 15:24:22:965752,TEST,USDCNH,-9914677.075596
2018-10-19 15:24:22:902150,TEST,USDCNH,-9914678.075596
2018-10-19 15:24:22:830040,TEST,USDCNH,-9914679.075596
2018-10-19 15:24:22:746142,TEST,USDCNH,-9914680.075596
2018-10-19 15:24:22:658100,TEST,USDCNH,-9914681.075596
2018-10-19 15:24:22:291913,TEST,USDCNH,-9914682.075596
2018-10-19 15:24:22:163501,TEST,USDCNH,-9914683.075596
2018-10-19 15:23:26:585560,TEST,USDCNH,-9914684.075596
2018-10-19 15:23:24:242546,TEST,USDCNH,-9914685.075596
2018-10-19 15:23:23:831848,TEST,USDCNH,-9914686.075596
2018-10-19 15:23:23:712661,TEST,USDCNH,-9914687.075596
2018-10-19 15:23:23:543624,TEST,USDCNH,-9914688.075596
2018-10-19 15:23:22:781690,TEST,USDCNH,-9914689.075596
2018-10-19 15:23:22:312184,TEST,USDCNH,-9914690.075596
2018-10-19 15:23:20:964412,TEST,USDCNH,-9914691.075596
2018-10-19 15:23:20:163804,TEST,USDCNH,-9914692.075596
2018-10-19 15:23:19:897933,TEST,USDCNH,-9914693.075596
2018-10-19 15:23:19:402660,TEST,USDCNH,-9914694.075596
2018-10-19 15:23:19:102603,TEST,USDCNH,-9914695.075596
2018-10-19 15:20:31:252817,TEST,USDCNH,-9914696.075596
2018-10-19 15:20:30:577122,TEST,USDCNH,-9914697.075596
2018-10-19 15:20:30:471735,TEST,USDCNH,-9914698.075596
2018-10-19 15:20:23:835752,TEST,USDCNH,-9914699.075596
2018-10-19 15:20:23:506420,TEST,USDCNH,-9914700.075596
2018-10-19 15:20:08:799625,TEST,USDCNH,-9914701.075596
2018-10-19 15:19:34:374304,TEST,USDCNH,-9914702.075596
2018-10-19 15:19:03:066713,TEST,USDCNH,-9914703.075596
2018-10-19 15:19:03:007627,TEST,USDCNH,-9914704.075596
2018-10-19 15:19:02:130966,TEST,USDCNH,-9914705.075596
2018-10-19 15:19:02:055772,TEST,USDCNH,-9914706.075596
2018-10-19 15:19:00:392302,TEST,USDCNH,-9914707.075596
2018-10-19 15:19:00:230493,TEST,USDCNH,-9914708.075596
2018-10-19 15:18:59:782425,TEST,USDCNH,-9914709.075596
2018-10-19 15:17:50:419970,TEST,USDCNH,-9914710.075596
2018-10-19 15:17:49:520476,TEST,USDCNH,-9914711.075596
2018-10-19 15:17:48:861820,TEST,USDCNH,-9914712.075596
2018-10-19 15:17:48:232469,TEST,USDCNH,-9914713.075596
2018-10-19 15:16:43:582144,TEST,USDCNH,-9914714.075596
2018-10-19 15:16:42:775241,TEST,USDCNH,-9914715.075596
2018-10-19 15:16:16:892949,TEST,USDCNH,-9914716.075596
2018-10-19 15:16:16:245101,TEST,USDCNH,-9914717.075596
2018-10-19 15:16:15:165078,TEST,USDCNH,-9914718.075596
2018-10-19 15:16:15:068333,TEST,USDCNH,-9914719.075596
2018-10-19 15:16:14:088341,TEST,USDCNH,-9914720.075596
2018-10-19 15:16:13:846960,TEST,USDCNH,-9914721.075596
2018-10-19 15:15:35:205859,TEST,USDCNH,-9914722.075596
2018-10-19 15:15:34:272145,TEST,USDCNH,-9914723.075596
2018-10-19 15:15:33:555051,TEST,USDCNH,-9914724.075596
2018-10-19 15:15:33:485658,TEST,USDCNH,-9914725.075596
2018-10-19 15:15:27:250750,TEST,USDCNH,-9914726.075596
2018-10-19 15:15:25:839282,TEST,USDCNH,-9914727.075596
2018-10-19 15:15:25:368484,TEST,USDCNH,-9914728.075596
2018-10-19 15:15:21:109672,TEST,USDCNH,-9914729.075596
2018-10-19 15:15:20:252134,TEST,USDCNH,-9914730.075596
2018-10-19 15:15:20:078831,TEST,USDCNH,-9914731.075596
2018-10-19 15:15:19:958134,TEST,USDCNH,-9914732.075596
2018-10-19 15:15:19:482374,TEST,USDCNH,-9914733.075596
2018-10-19 15:15:19:286688,TEST,USDCNH,-9914734.075596
2018-10-19 15:15:18:898143,TEST,USDCNH,-9914735.075596
2018-10-19 15:15:18:854038,TEST,USDCNH,-9914736.075596
2018-10-19 15:15:18:341689,TEST,USDCNH,-9914737.075596
2018-10-19 15:15:18:271413,TEST,USDCNH,-9914738.075596
